Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-01-02,Kyle watches a movie every day in 2022,,https://boxd.it/eHMPu,My mission to watch a movie every day in 2022. All reviewed in ten words or less.

Position,Name,Year,URL,Description
1,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ,Seen prior
2,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
3,The Lobster,2015,https://boxd.it/7tnw,
4,Whiplash,2014,https://boxd.it/7bQA,
5,Marriage Story,2019,https://boxd.it/hJAw,
6,Akira,1988,https://boxd.it/2b1i,
7,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,Seen Prior
8,Spencer,2021,https://boxd.it/qPMG,
9,Who Framed Roger Rabbit,1988,https://boxd.it/29ry,Seen Prior
10,The Wizard of Oz,1939,https://boxd.it/29Xu,
11,Hugo,2011,https://boxd.it/R08,Seen Prior
12,The Matrix,1999,https://boxd.it/2a1m,Seen Prior
13,Nope,2022,https://boxd.it/sDCe,
14,The Mitchells vs. The Machines,2021,https://boxd.it/i7xm,
15,The Northman,2022,https://boxd.it/nK2s,
16,Marcel the Shell with Shoes On,2021,https://boxd.it/wMAk,
17,The Batman,2022,https://boxd.it/eDGs,
18,Primer,2004,https://boxd.it/6YA,
19,The Power of the Dog,2021,https://boxd.it/m99E,
20,Ghost in the Shell,1995,https://boxd.it/1YYc,
21,CODA,2021,https://boxd.it/tbf4,
22,The French Dispatch,2021,https://boxd.it/jLP8,
23,Kiki's Delivery Service,1989,https://boxd.it/1JAY,
24,Jurassic Park,1993,https://boxd.it/2aA2,
25,"tick, tick...BOOM!",2021,https://boxd.it/jz2e,
26,Scream,1996,https://boxd.it/24EC,
27,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,Seen prior
28,The Harder They Fall,2021,https://boxd.it/mRCU,
29,The Worst Person in the World,2021,https://boxd.it/oyws,
30,Men,2022,https://boxd.it/tlc0,
31,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,
32,The Evil Dead,1981,https://boxd.it/29Go,
33,The Mist,2007,https://boxd.it/22r2,
34,West Side Story,2021,https://boxd.it/iwt0,
35,Kingsman: The Secret Service,2014,https://boxd.it/6dxe,
