Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2020-02-10,Jesus Camp,2006,https://boxd.it/YXcTb,3,Yes,Is this a comedy?,,2020-02-09
2020-02-27,John Mulaney & The Sack Lunch Bunch,2019,https://boxd.it/10t8lH,2,,Would be much better if they decided to make either adult humor or kid humor - the teetering if this really kills any possible great jokes,,2020-02-26
2020-11-27,Megan Is Missing,2011,https://boxd.it/1tNrXh,0.5,,Hilariously bad,,2020-11-26
2021-07-17,Escape Room: Tournament of Champions,2021,https://boxd.it/1ZYn0Z,1,,Hot garbage. Pay attention to the ADR in this - some of the worst I've ever seen.,,2021-07-16
2021-07-24,Old,2021,https://boxd.it/2125UR,3,,"Old had the potential to be a really interesting film exploring the nature of time and the thought of it slipping through your fingers, shoutout to Synecdoche, New York, but drops all of this when it comes to its themes by the third act. While independently the writing of these two sections were interesting and fun to watch, the tonal shift from mystery to thriller feels abrupt, almost as if the film deviated from the source material suddenly. I wouldn’t know as I hadn’t seen the graphic novel, but it definitely feels that way.

The best part of the film was easily the camerawork. While it is clear that many of the tracking shots were done with the explicit purpose of not showing graphic shots (keeping a pg13 rating), it is very fun to see the camera used in this way. There are two notable examples where the camera is used to show the perspective of two aging characters and their loss of senses, which I found very enjoyable filmmaking. Shoutout to Mike Gioulakis for this part, who also did the camerawork for “Us” and “It Follows”

The casting of this film was really interesting actually - several characters have multiple versions playing them between makeup adjustments, one of the characters getting four different actors portraying them. Of course the changes were rather jarring and the child actors were less than competent (especially Kailen Jude), but given the need to have several actors play a single character, it was well done for what they could do. The acting, of course, was the weakest part of the film.

The thrills that aren’t coming from the concept alone were very tame during the first two acts. When the third act is in gear however, they are in full effect and are interesting in concept but a little underwhelming given the circumstances. There is a scene of body horror that excels in its spooks, and inventive usage of the world’s rules, which was my highlight of the experience.

Overall the film wasn’t terrible, but it wasn’t anything great. The first half is a spooky exploration of time, done better in Synecdoche, New York. The second half is a thrilling set of scenes with the time rules used to their potential, done more enjoyably in Triangle. 6/10, closer to a 5 than a 7.",saw in theatres,2021-07-23
2021-07-25,Fruits Basket,2001,https://boxd.it/21bB71,2,,Momiji holds the line from this being a 3/10,,2021-07-24
2021-07-25,Dear Zachary: A Letter to a Son About His Father,2008,https://boxd.it/21gilD,4.5,,First movie I’ve cried at in a long time. I need to wipe up my face now,,2021-07-25
2021-08-02,The Green Knight,2021,https://boxd.it/22pLXX,4,,My dumbass thought it ripped off that adventure Time episode but actually they ripped off this movie plot twist,saw in theatres,2021-08-01
2021-08-10,Jungle Cruise,2021,https://boxd.it/23BLUn,2.5,,Not a single animal in this movie was real,saw in theatres,2021-08-09
2021-08-16,Free Guy,2021,https://boxd.it/24t3kD,1.5,,"I know I’m being a nitpicky ass with this one but god I cared so little for any relationship in this film

Taika still slaps though love ya",saw in theatres,2021-08-15
